INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:13:15,418 - step: 215, loss: 37562.38671875
INFO - diffusion.py - 2024-12-08 10:13:17,371 - step: 216, loss: 905.0885620117188
INFO - diffusion.py - 2024-12-08 10:13:19,446 - step: 217, loss: 1421.992431640625
INFO - diffusion.py - 2024-12-08 10:13:21,347 - step: 218, loss: 1008.3115234375
INFO - diffusion.py - 2024-12-08 10:13:23,423 - step: 219, loss: 25482.28125
INFO - diffusion.py - 2024-12-08 10:13:25,558 - step: 220, loss: 24889.734375
INFO - diffusion.py - 2024-12-08 10:13:27,814 - step: 221, loss: 13737.0078125
INFO - diffusion.py - 2024-12-08 10:13:29,798 - step: 222, loss: 25088.32421875
INFO - diffusion.py - 2024-12-08 10:13:31,730 - step: 223, loss: 13101.96875
INFO - diffusion.py - 2024-12-08 10:13:33,630 - step: 224, loss: 13918.9990234375
INFO - diffusion.py - 2024-12-08 10:13:35,709 - step: 225, loss: 13627.2900390625
INFO - diffusion.py - 2024-12-08 10:13:37,755 - step: 226, loss: 13048.3154296875
INFO - diffusion.py - 2024-12-08 10:13:39,850 - step: 227, loss: 37169.87890625
INFO - diffusion.py - 2024-12-08 10:13:41,877 - step: 228, loss: 13344.8388671875
INFO - diffusion.py - 2024-12-08 10:13:43,741 - step: 229, loss: 24930.841796875
INFO - diffusion.py - 2024-12-08 10:13:45,597 - step: 230, loss: 1736.3785400390625
INFO - diffusion.py - 2024-12-08 10:13:47,710 - step: 231, loss: 24794.6640625
INFO - diffusion.py - 2024-12-08 10:13:49,990 - step: 232, loss: 1088.4267578125
INFO - diffusion.py - 2024-12-08 10:13:52,026 - step: 233, loss: 1051.949951171875
INFO - diffusion.py - 2024-12-08 10:13:54,190 - step: 234, loss: 1019.1835327148438
INFO - diffusion.py - 2024-12-08 10:13:56,226 - step: 235, loss: 1139.2294921875
INFO - diffusion.py - 2024-12-08 10:13:58,517 - step: 236, loss: 1284.4591064453125
INFO - diffusion.py - 2024-12-08 10:14:00,586 - step: 237, loss: 1717.00146484375
INFO - diffusion.py - 2024-12-08 10:14:02,646 - step: 238, loss: 13579.8095703125
INFO - diffusion.py - 2024-12-08 10:14:04,522 - step: 239, loss: 25195.005859375
INFO - diffusion.py - 2024-12-08 10:14:06,699 - step: 240, loss: 13091.6826171875
INFO - diffusion.py - 2024-12-08 10:14:08,777 - step: 241, loss: 13095.2802734375
INFO - diffusion.py - 2024-12-08 10:14:10,777 - step: 242, loss: 13720.69140625
INFO - diffusion.py - 2024-12-08 10:14:12,671 - step: 243, loss: 1915.8758544921875
INFO - diffusion.py - 2024-12-08 10:14:14,714 - step: 244, loss: 13188.708984375
INFO - diffusion.py - 2024-12-08 10:14:16,717 - step: 245, loss: 13770.744140625
INFO - diffusion.py - 2024-12-08 10:14:18,867 - step: 246, loss: 13224.08984375
INFO - diffusion.py - 2024-12-08 10:14:20,883 - step: 247, loss: 25191.4296875
INFO - diffusion.py - 2024-12-08 10:14:22,902 - step: 248, loss: 880.867919921875
